date,District of Columbia
01/22/2020,0
01/23/2020,0
01/24/2020,0
01/25/2020,0
01/26/2020,0
01/27/2020,0
01/28/2020,0
01/29/2020,0
01/30/2020,0
01/31/2020,0
02/01/2020,0
02/02/2020,0
02/03/2020,0
02/04/2020,0
02/05/2020,0
02/06/2020,0
02/07/2020,0
02/08/2020,0
02/09/2020,0
02/10/2020,0
02/11/2020,0
02/12/2020,0
02/13/2020,0
02/14/2020,0
02/15/2020,0
02/16/2020,0
02/17/2020,0
02/18/2020,0
02/19/2020,0
02/20/2020,0
02/21/2020,0
02/22/2020,0
02/23/2020,0
02/24/2020,0
02/25/2020,0
02/26/2020,0
02/27/2020,0
02/28/2020,0
02/29/2020,0
03/01/2020,0
03/02/2020,0
03/03/2020,0
03/04/2020,0
03/05/2020,0
03/06/2020,0
03/07/2020,1
03/08/2020,1
03/09/2020,4
03/10/2020,4
03/11/2020,10
03/12/2020,10
03/13/2020,10
03/14/2020,16
03/15/2020,17
03/16/2020,22
03/17/2020,31
03/18/2020,36
03/19/2020,39
03/20/2020,71
03/21/2020,77
03/22/2020,98
03/23/2020,116
03/24/2020,137
03/25/2020,183
03/26/2020,231
03/27/2020,267
03/28/2020,304
03/29/2020,342
03/30/2020,401
03/31/2020,495
04/01/2020,586
04/02/2020,653
04/03/2020,757
04/04/2020,902
04/05/2020,998
04/06/2020,1097
04/07/2020,1211
04/08/2020,1440
04/09/2020,1523
04/10/2020,1660
04/11/2020,1778
04/12/2020,1875
04/13/2020,1955
04/14/2020,2058
04/15/2020,2197
04/16/2020,2350
04/17/2020,2476
04/18/2020,2666
04/19/2020,2793
04/20/2020,2927
04/21/2020,3098
04/22/2020,3206
04/23/2020,3361
04/24/2020,3528
04/25/2020,3699
04/26/2020,3841
04/27/2020,3892
04/28/2020,3994
04/29/2020,4106
04/30/2020,4323
05/01/2020,4658
05/02/2020,4797
05/03/2020,5016
05/04/2020,5170
05/05/2020,5322
05/06/2020,5461
05/07/2020,5654
05/08/2020,5899
05/09/2020,6102
05/10/2020,6272
05/11/2020,6389
05/12/2020,6485
05/13/2020,6584
05/14/2020,6736
05/15/2020,6871
05/16/2020,7042
05/17/2020,7123
05/18/2020,7270
05/19/2020,7434
05/20/2020,7551
05/21/2020,7788
05/22/2020,7893
05/23/2020,7966
05/24/2020,8110
05/25/2020,8225
05/26/2020,8334
05/27/2020,8406
05/28/2020,8492
05/29/2020,8538
05/30/2020,8717
05/31/2020,8801
06/01/2020,8857
06/02/2020,8886
06/03/2020,9016
06/04/2020,9120
06/05/2020,9199
06/06/2020,9269
06/07/2020,9332
06/08/2020,9389
06/09/2020,9474
06/10/2020,9537
06/11/2020,9589
06/12/2020,9654
06/13/2020,9709
06/14/2020,9767
06/15/2020,9799
06/16/2020,9818
06/17/2020,9847
06/18/2020,9903
06/19/2020,9952
06/20/2020,9984
06/21/2020,10020
06/22/2020,10058
06/23/2020,10094
06/24/2020,10128
06/25/2020,10159
06/26/2020,10185
06/27/2020,10216
06/28/2020,10248
06/29/2020,10292
06/30/2020,10327
07/01/2020,10365
07/02/2020,10390
07/03/2020,10435
07/04/2020,10447
07/05/2020,10482
07/06/2020,10515
07/07/2020,10569
07/08/2020,10642
07/09/2020,10679
07/10/2020,10743
