date,Kauai,Maui,Unknown,Honolulu,Hawaii
01/21/2020,0,0,0,0,0
01/22/2020,0,0,0,0,0
01/23/2020,0,0,0,0,0
01/24/2020,0,0,0,0,0
01/25/2020,0,0,0,0,0
01/26/2020,0,0,0,0,0
01/27/2020,0,0,0,0,0
01/28/2020,0,0,0,0,0
01/29/2020,0,0,0,0,0
01/30/2020,0,0,0,0,0
01/31/2020,0,0,0,0,0
02/01/2020,0,0,0,0,0
02/02/2020,0,0,0,0,0
02/03/2020,0,0,0,0,0
02/04/2020,0,0,0,0,0
02/05/2020,0,0,0,0,0
02/06/2020,0,0,0,0,0
02/07/2020,0,0,0,0,0
02/08/2020,0,0,0,0,0
02/09/2020,0,0,0,0,0
02/10/2020,0,0,0,0,0
02/11/2020,0,0,0,0,0
02/12/2020,0,0,0,0,0
02/13/2020,0,0,0,0,0
02/14/2020,0,0,0,0,0
02/15/2020,0,0,0,0,0
02/16/2020,0,0,0,0,0
02/17/2020,0,0,0,0,0
02/18/2020,0,0,0,0,0
02/19/2020,0,0,0,0,0
02/20/2020,0,0,0,0,0
02/21/2020,0,0,0,0,0
02/22/2020,0,0,0,0,0
02/23/2020,0,0,0,0,0
02/24/2020,0,0,0,0,0
02/25/2020,0,0,0,0,0
02/26/2020,0,0,0,0,0
02/27/2020,0,0,0,0,0
02/28/2020,0,0,0,0,0
02/29/2020,0,0,0,0,0
03/01/2020,0,0,0,0,0
03/02/2020,0,0,0,0,0
03/03/2020,0,0,0,0,0
03/04/2020,0,0,0,0,0
03/05/2020,0,0,0,0,0
03/06/2020,0,0,0,1,0
03/07/2020,0,0,0,1,0
03/08/2020,0,0,0,2,0
03/09/2020,0,0,0,2,0
03/10/2020,0,0,0,2,0
03/11/2020,0,0,0,2,0
03/12/2020,0,0,0,2,0
03/13/2020,0,0,0,2,0
03/14/2020,2,0,0,2,0
03/15/2020,2,1,0,4,0
03/16/2020,2,2,0,6,0
03/17/2020,2,3,0,8,1
03/18/2020,2,3,0,10,1
03/19/2020,2,5,0,18,1
03/20/2020,3,5,0,28,1
03/21/2020,3,7,0,35,3
03/22/2020,3,9,0,41,3
03/23/2020,3,11,5,53,5
03/24/2020,3,11,13,58,5
03/25/2020,5,13,4,68,5
03/26/2020,5,14,5,77,5
03/27/2020,5,16,5,87,7
03/28/2020,11,16,6,108,10
03/29/2020,12,20,12,119,12
03/30/2020,12,25,13,139,15
03/31/2020,12,25,15,157,15
04/01/2020,12,26,20,182,18
04/02/2020,12,27,20,206,18
04/03/2020,13,36,11,237,20
04/04/2020,15,38,8,266,22
04/05/2020,16,43,7,281,22
04/06/2020,17,44,9,292,23
04/07/2020,18,48,7,312,23
04/08/2020,18,54,7,328,26
04/09/2020,18,57,3,334,28
04/10/2020,19,66,4,343,31
04/11/2020,19,80,3,348,34
04/12/2020,21,84,3,350,39
04/13/2020,21,86,3,352,40
04/14/2020,21,88,3,358,41
04/15/2020,21,92,1,369,41
04/16/2020,21,95,5,373,41
04/17/2020,21,102,0,380,44
04/18/2020,21,104,0,382,61
04/19/2020,21,106,0,385,62
04/20/2020,21,108,0,385,64
04/21/2020,21,110,0,385,64
04/22/2020,21,110,0,388,67
04/23/2020,21,112,0,389,68
04/24/2020,21,113,0,392,69
04/25/2020,21,112,0,395,69
04/26/2020,21,112,0,396,70
04/27/2020,21,113,0,396,70
04/28/2020,21,115,0,396,70
04/29/2020,21,115,0,399,70
04/30/2020,21,116,0,399,73
05/01/2020,21,116,0,400,73
05/02/2020,21,117,0,400,73
05/03/2020,21,116,0,400,74
05/04/2020,21,116,0,400,75
05/05/2020,21,116,0,404,74
05/06/2020,21,116,0,405,74
05/07/2020,21,116,0,408,74
05/08/2020,21,116,0,408,74
05/09/2020,21,117,0,407,75
05/10/2020,21,117,0,408,75
05/11/2020,21,117,0,410,75
05/12/2020,21,117,0,411,75
05/13/2020,21,117,0,414,75
05/14/2020,21,117,0,414,75
05/15/2020,21,117,0,414,76
05/16/2020,21,117,0,415,76
05/17/2020,21,117,0,415,77
05/18/2020,21,117,0,415,77
05/19/2020,21,117,0,415,78
05/20/2020,21,117,0,416,79
05/21/2020,21,118,0,416,82
05/22/2020,20,117,0,414,81
05/23/2020,20,118,0,414,81
05/24/2020,20,118,0,414,81
05/25/2020,20,118,0,414,81
05/26/2020,20,118,0,414,81
05/27/2020,20,118,0,414,82
05/28/2020,20,118,0,417,82
05/29/2020,20,118,0,419,82
05/30/2020,20,119,0,421,81
05/31/2020,20,120,0,421,81
06/01/2020,20,120,0,421,81
06/02/2020,20,120,0,422,81
06/03/2020,20,119,0,423,81
06/04/2020,20,119,0,424,81
06/05/2020,21,120,0,431,81
06/06/2020,21,120,0,439,81
06/07/2020,21,120,0,441,81
06/08/2020,21,120,0,442,81
06/09/2020,21,120,0,448,81
06/10/2020,21,120,0,451,81
06/11/2020,21,120,0,458,81
06/12/2020,21,120,0,472,81
06/13/2020,21,120,0,489,81
06/14/2020,21,120,0,493,82
06/15/2020,21,120,0,501,82
06/16/2020,21,120,0,505,82
06/17/2020,21,120,0,508,83
06/18/2020,21,120,0,526,83
06/19/2020,22,121,0,551,83
06/20/2020,29,122,0,557,83
06/21/2020,29,122,0,566,85
06/22/2020,29,122,0,568,85
06/23/2020,29,122,0,571,85
06/24/2020,29,122,0,584,86
06/25/2020,33,122,0,595,86
06/26/2020,34,122,0,608,86
06/27/2020,35,122,0,613,86
06/28/2020,37,123,0,636,87
06/29/2020,37,122,0,638,87
06/30/2020,38,123,1,652,87
07/01/2020,38,125,0,659,87
07/02/2020,38,125,0,676,90
07/03/2020,38,127,0,701,91
07/04/2020,40,128,0,720,93
07/05/2020,40,128,0,744,93
07/06/2020,40,128,0,750,94
07/07/2020,42,128,0,788,95
07/08/2020,42,130,0,808,96
07/09/2020,43,130,0,842,97
07/10/2020,43,131,0,867,98
